year,age,origin,uni,applicants,accepted,party,brexit
2006,17 and under,European students,English Universities,19450,1950,Labour,Pre Brexit
2006,17 and under,European students,Northern Irish Universities,2000,80,Labour,Pre Brexit
2006,17 and under,European students,Scottish Universities,2665,200,Labour,Pre Brexit
2006,17 and under,European students,Welsh Universities,920,60,Labour,Pre Brexit
2006,17 and under,English students,English Universities,12525,1790,Labour,Pre Brexit
2006,17 and under,English students,Northern Irish Universities,10,0,Labour,Pre Brexit
2006,17 and under,English students,Scottish Universities,820,50,Labour,Pre Brexit
2006,17 and under,English students,Welsh Universities,425,40,Labour,Pre Brexit
2006,17 and under,Northern Irish students,English Universities,265,30,Labour,Pre Brexit
2006,17 and under,Northern Irish students,Northern Irish Universities,405,65,Labour,Pre Brexit
2006,17 and under,Northern Irish students,Scottish Universities,135,10,Labour,Pre Brexit
2006,17 and under,Northern Irish students,Welsh Universities,15,0,Labour,Pre Brexit
2006,17 and under,International students,English Universities,21000,1945,Labour,Pre Brexit
2006,17 and under,International students,Northern Irish Universities,70,10,Labour,Pre Brexit
2006,17 and under,International students,Scottish Universities,1695,150,Labour,Pre Brexit
2006,17 and under,International students,Welsh Universities,700,50,Labour,Pre Brexit
2006,17 and under,Scottish students,English Universities,530,40,Labour,Pre Brexit
2006,17 and under,Scottish students,Northern Irish Universities,10,0,Labour,Pre Brexit
2006,17 and under,Scottish students,Scottish Universities,8860,1190,Labour,Pre Brexit
2006,17 and under,Scottish students,Welsh Universities,15,0,Labour,Pre Brexit
2006,17 and under,Welsh students,English Universities,460,70,Labour,Pre Brexit
2006,17 and under,Welsh students,Scottish Universities,60,10,Labour,Pre Brexit
2006,17 and under,Welsh students,Welsh Universities,145,20,Labour,Pre Brexit
2006,18,European students,English Universities,58250,6330,Labour,Pre Brexit
2006,18,European students,Northern Irish Universities,4480,270,Labour,Pre Brexit
2006,18,European students,Scottish Universities,10960,880,Labour,Pre Brexit
2006,18,European students,Welsh Universities,2610,240,Labour,Pre Brexit
2006,18,English students,English Universities,1880860,274480,Labour,Pre Brexit
2006,18,English students,Northern Irish Universities,1600,125,Labour,Pre Brexit
2006,18,English students,Scottish Universities,57840,4620,Labour,Pre Brexit
2006,18,English students,Welsh Universities,75280,10600,Labour,Pre Brexit
2006,18,Northern Irish students,English Universities,31930,3475,Labour,Pre Brexit
2006,18,Northern Irish students,Northern Irish Universities,76630,10480,Labour,Pre Brexit
2006,18,Northern Irish students,Scottish Universities,18505,1720,Labour,Pre Brexit
2006,18,Northern Irish students,Welsh Universities,1815,120,Labour,Pre Brexit
2006,18,International students,English Universities,95380,10160,Labour,Pre Brexit
2006,18,International students,Northern Irish Universities,270,5,Labour,Pre Brexit
2006,18,International students,Scottish Universities,7340,810,Labour,Pre Brexit
2006,18,International students,Welsh Universities,3750,360,Labour,Pre Brexit
2006,18,Scottish students,English Universities,11840,1300,Labour,Pre Brexit
2006,18,Scottish students,Northern Irish Universities,155,10,Labour,Pre Brexit
2006,18,Scottish students,Scottish Universities,162910,24690,Labour,Pre Brexit
2006,18,Scottish students,Welsh Universities,360,45,Labour,Pre Brexit
2006,18,Welsh students,English Universities,59580,6460,Labour,Pre Brexit
2006,18,Welsh students,Northern Irish Universities,70,0,Labour,Pre Brexit
2006,18,Welsh students,Scottish Universities,1770,110,Labour,Pre Brexit
2006,18,Welsh students,Welsh Universities,54090,11080,Labour,Pre Brexit
2006,19,European students,English Universities,43090,5025,Labour,Pre Brexit
2006,19,European students,Northern Irish Universities,1325,115,Labour,Pre Brexit
2006,19,European students,Scottish Universities,8700,970,Labour,Pre Brexit
2006,19,European students,Welsh Universities,1690,225,Labour,Pre Brexit
2006,19,English students,English Universities,490060,79490,Labour,Pre Brexit
2006,19,English students,Northern Irish Universities,345,20,Labour,Pre Brexit
2006,19,English students,Scottish Universities,11050,1030,Labour,Pre Brexit
2006,19,English students,Welsh Universities,14430,2230,Labour,Pre Brexit
2006,19,Northern Irish students,English Universities,5830,810,Labour,Pre Brexit
2006,19,Northern Irish students,Northern Irish Universities,10500,1500,Labour,Pre Brexit
2006,19,Northern Irish students,Scottish Universities,2050,205,Labour,Pre Brexit
2006,19,Northern Irish students,Welsh Universities,315,30,Labour,Pre Brexit
2006,19,International students,English Universities,86850,9880,Labour,Pre Brexit
2006,19,International students,Northern Irish Universities,300,10,Labour,Pre Brexit
